antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Low', 'Unhealthy', '5.0', 'Yes', '10.0'})",frozenset({'1'}),0.0121142611375936,0.5854987276441704,0.0117916920540482,0.9733727810650888,1.662467799002023,1.0,0.0046988075716379,15.566825561807873,0.4033711330781641,0.0201284796573875,0.935760827020929,0.4967561750575199
"frozenset({'Yes', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0172036844557542,0.5854987276441704,0.0167019103257947,0.9708333333333332,1.658130560316683,1.0,0.0066291749661588,14.211472195056956,0.4038590454075406,0.0285015290519877,0.9296343133016282,0.4996796441397322
"frozenset({'Unhealthy', '5.0', 'Yes', '10.0', 'Hight'})",frozenset({'1'}),0.0115766459983513,0.5854987276441704,0.0112182359055231,0.9690402476780186,1.655068067486802,1.0,0.0044401244031014,13.388391097093283,0.4004308893716967,0.0191484155144989,0.9253084263263636,0.4941001923992443
"frozenset({'Very Low', 'Unhealthy', '5.0', 'Yes', '10.0'})",frozenset({'1'}),0.0129744453603813,0.5854987276441704,0.0125443532489874,0.9668508287292816,1.6513286589358285,1.0,0.0049478319985954,12.504121716067516,0.3996117713580221,0.0214093467090775,0.9200263702875652,0.4941379510933382
"frozenset({'Unhealthy', 'Very Hight', '5.0', 'Yes', '10.0'})",frozenset({'1'}),0.0107881437941292,0.5854987276441704,0.010429733701301,0.9667774086378738,1.6512032614107075,1.0,0.004113289236196,12.476488297910471,0.3986820807809154,0.0178025204943105,0.9198492415395864,0.4922954134276538
"frozenset({'Yes', ""'Less than 5 hours'"", '5.0', '10.0'})",frozenset({'1'}),0.013225332425361,0.5854987276441704,0.0126877172861187,0.959349593495935,1.638516956912958,1.0,0.0049443019783986,10.196731299953408,0.3949148848674085,0.0216500519845881,0.9019293565179493,0.4905097624678499
"frozenset({'Low', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0129027633418157,0.5854987276441704,0.0123651482025733,0.9583333333333334,1.6367812397975845,1.0,0.0048105966828464,9.948030536539918,0.3941301743013973,0.0210996269341324,0.8994775904308979,0.4897261671563827
"frozenset({'Very Hight', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.01143328196122,0.5854987276441704,0.0108956668219777,0.9529780564263324,1.6276347179450965,1.0,0.0042014947808863,8.815060392100637,0.3900713279827805,0.0185921350376123,0.8865577823044615,0.4857936315432347
"frozenset({'5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0185298017992186,0.5854987276441704,0.0176337765671481,0.9516441005802708,1.6253563938718252,1.0,0.0067846011902069,8.571886312318561,0.3920142674257593,0.0300715115213006,0.8833395633627442,0.4908808162059043
"frozenset({'Very Low', '5.0', 'Yes', 'Female', '10.0'})",frozenset({'1'}),0.012221784165442,0.5854987276441704,0.0116124870076341,0.9501466275659824,1.6227987913637658,1.0,0.0044566479292261,8.314407874902235,0.3885291798813811,0.0198128783709411,0.8797268530668808,0.4849900620689854
"frozenset({'12.0', 'Yes', '5.0', 'Unhealthy'})",frozenset({'1'}),0.0111823948962402,0.5854987276441704,0.0106089387477151,0.9487179487179488,1.6203586855521237,1.0,0.0040616607639517,8.082774810938687,0.3871823180605667,0.0181017612524461,0.8762801112995667,0.4834187197066727
"frozenset({'Low', '5.0', 'Yes', 'Female', '10.0'})",frozenset({'1'}),0.0111465538869574,0.5854987276441704,0.0105730977384323,0.9485530546623794,1.6200770554686,1.0,0.0040468046200015,8.05686848141643,0.3870597919904657,0.0180406066536203,0.8758822981526198,0.4833056654310917
"frozenset({'Yes', '5.0', 'Female', '10.0'})",frozenset({'1'}),0.0159492491308555,0.5854987276441704,0.0151249059173506,0.9483146067415728,1.619669799381527,1.0,0.0057866408443548,8.019698530362763,0.3887911308675525,0.0257961978116021,0.8753070335232706,0.4870735619408158
"frozenset({'5.0', 'Yes', 'Female', '10.0', 'Hight'})",frozenset({'1'}),0.0107881437941292,0.5854987276441704,0.0102146876456041,0.946843853820598,1.617157833340383,1.0,0.003898243180499,7.797805186194025,0.3857931604373251,0.017429060665362,0.8717587864633378,0.4821449925322382
"frozenset({'Hight', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0125801942582703,0.5854987276441704,0.0118992150818967,0.945868945868946,1.6154927435534685,1.0,0.0045335273501629,7.657365610362958,0.385847856033936,0.020299602568022,0.8694067841495425,0.4830960792028372
"frozenset({'Male', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0110748718683918,0.5854987276441704,0.0104655747105838,0.9449838187702266,1.6139809945830126,1.0,0.0039812513228182,7.534170185761857,0.3846742355338256,0.0178560508775148,0.8672713815398265,0.4814292257416265
"frozenset({'Very Low', '5.0', 'Unhealthy', '10.0'})",frozenset({'1'}),0.0140855166481488,0.5854987276441704,0.0132970144439267,0.9440203562340966,1.612335452943654,1.0,0.0050499623682248,7.404500001629129,0.3852075181657519,0.0226800342340139,0.8649469917239542,0.4833654670494675
"frozenset({""'Less than 5 hours'"", 'Unhealthy', 'Very Hight', '5.0', 'Yes', 'Hight'})",frozenset({'1'}),0.012221784165442,0.5854987276441704,0.0115049639797856,0.9413489736070382,1.607772876628916,1.0,0.0043491249013776,7.067246693666901,0.3826988637648133,0.0196258253851797,0.8585021800786833,0.4804994133461244
"frozenset({'Yes', 'Moderate', '5.0', '10.0'})",frozenset({'1'}),0.0130102863696641,0.5854987276441704,0.012221784165442,0.9393939393939392,1.604433784465616,1.0,0.0046042780497174,6.839270993871182,0.3816930973973794,0.0208460692016138,0.8537855860813058,0.4801340411955005
"frozenset({'Very Low', '5.0', 'Yes', '10.0', 'Hight'})",frozenset({'1'}),0.0175262535392996,0.5854987276441704,0.016451023260815,0.9386503067484664,1.6031637003298824,1.0,0.0061894241131859,6.756370739400024,0.382944972336909,0.0280459489184895,0.851991544192733,0.4833738801127248
"frozenset({'Very Low', ""'Less than 5 hours'"", '5.0', '10.0'})",frozenset({'1'}),0.0109673488405433,0.5854987276441704,0.0102863696641697,0.937908496732026,1.6018967291454618,1.0,0.0038650008724018,6.675652070572834,0.3799066007640378,0.0175481504127178,0.8502018994656516,0.4777385284835449
"frozenset({'Yes', '5.0', '10.0'})",frozenset({'1'}),0.0370954446077201,0.5854987276441704,0.0347657790043367,0.9371980676328504,1.60068335486191,1.0,0.0130464433851218,6.6001356444351496,0.3897237991375296,0.0591427351990732,0.8484879623886,0.498288064178815
"frozenset({'Low', 'Yes', '5.0', '10.0'})",frozenset({'1'}),0.0261639367764596,0.5854987276441704,0.0245152503494498,0.9369863013698628,1.6003216695960178,1.0,0.0091962986566702,6.5779549743425045,0.3852040821817035,0.0417531436942986,0.8479770682680974,0.4894285081775857
"frozenset({'Yes', '5.0', 'Hight', '10.0'})",frozenset({'1'}),0.0249453424608437,0.5854987276441704,0.0233683380523995,0.9367816091954022,1.5999720664887926,1.0,0.0087628717809274,6.5566564899922035,0.3845826337859672,0.0398046398046398,0.8474832406537758,0.4883467301608745
